"ids","pids"
2001244,3000188
2001264,3000188
2001221,3000188
201018,1000509
1000509,1000492
215512,1000510
201024,1000510
258989,101688
266944,101688
101688,1000510
101689,1000510
201019,1000510
201022,1000510
201023,1000510
250450,1000510
1000510,1000492
1000492,2001250
259034,201026
201026,1000511
215513,1000511
1000511,1000493
201027,1000512
1000512,1000493
1000493,2001250
201028,1000513
201029,1000513
1000513,1000494
232265,101070
250162,101070
101070,1000514
1000514,1000494
215514,1000515
201031,1000515
1000515,1000494
1000494,2001250
2001250,2002975
2002975,3000188
213890,1003672
250430,1003672
1003672,2001208
213891,1003673
213892,1003673
213893,1003673
1003673,2001208
2001208,2003044
101382,1003674
102471,1003674
102472,1003674
213894,1003674
213895,1003674
213896,1003674
213900,1003674
233224,1003674
233225,1003674
1003674,2001209
213901,1003675
213902,1003675
213903,1003675
233226,1003675
1003675,2001209
213904,1003676
213905,1003676
213906,1003676
233227,1003676
1003676,2001209
101381,1003677
213907,1003677
213908,1003677
213909,1003677
213911,1003677
213912,1003677
213913,1003677
1003677,2001209
2001209,2003044
102375,1003679
1003679,2001210
213924,1003680
213925,1003680
213926,1003680
213927,1003680
213928,1003680
213929,1003680
213930,1003680
1003680,2001210
213931,1003681
1003681,2001210
2001210,2003044
102457,1003678
102458,1003678
213914,1003678
213915,1003678
213916,1003678
213917,1003678
213918,1003678
213920,1003678
213921,1003678
233218,1003678
1003678,2001211
2001211,2003044
2003044,3000188
102376,1003991
215259,1003991
1003991,2001245
215261,1003992
1003992,2001245
2001245,6004819
6004819,3000188
102376,1003991
215259,1003991
1003991,2001245
215261,1003992
1003992,2001245
2001245,3000188
101189,1000588
1000588,2001258
2001258,6004000
201182,1000585
1000585,2001257
2001257,6004000
201184,1000587
1000587,6004013
6004013,2001259
201184,1000587
1000587,2001259
259368,201183
201183,1000586
250442,1000586
1000586,6004014
216339,1004457
1004457,6004014
6004014,2001259
259368,201183
201183,1000586
250442,1000586
1000586,2001259
216339,1004457
1004457,2001259
2001259,6004000
215510,1004108
1004108,2001260
201186,1000589
1000589,6004015
201187,1000590
1000590,6004015
201188,1000591
234277,1000591
1000591,6004015
6004015,2001260
201186,1000589
1000589,2001260
201187,1000590
1000590,2001260
201188,1000591
234277,1000591
1000591,2001260
201189,1000592
