taxon_id	parent_taxon_id	taxon_rank_id	epithet	author	year	code	vernacular_names	use_parentheses
3000188	0	8	Lepidoptera	Linnaeus	1758	urn:lsid:dyntaxa.se:Taxon:3000188	fjärilar:swe	
2002975	3000188	10	Hesperioidea	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2002975	tjockhuvudfjärilar:swe	
2002976	3000188	10	Papilionoidea	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2002976	äkta dagfjärilar:swe	
2003040	3000188	10	Micropterigoidea	Herrich-Schäffer	1855	urn:lsid:dyntaxa.se:Taxon:2003040		
2003041	3000188	10	Eriocranioidea	Rebel	1901	urn:lsid:dyntaxa.se:Taxon:2003041		
2003042	3000188	10	Hepialoidea	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:2003042		
2003043	3000188	10	Nepticuloidea	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2003043		
2003044	3000188	10	Adeloidea	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2003044		
2003045	3000188	10	Tischerioidea	Spuler	1898	urn:lsid:dyntaxa.se:Taxon:2003045		
2003046	3000188	10	Tineoidea	Latreille	1810	urn:lsid:dyntaxa.se:Taxon:2003046		
2003908	3000188	10	Gracillarioidea	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2003908		
2003909	3000188	10	Yponomeutoidea	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:2003909		
6003675	3000188	10	Zygaenoidea	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:6003675		
6003993	3000188	10	Cossoidea	Leach	1815	urn:lsid:dyntaxa.se:Taxon:6003993		
6004000	3000188	10	Bombycoidea	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:6004000		
6004006	3000188	10	Lasiocampoidea	Harris	1841	urn:lsid:dyntaxa.se:Taxon:6004006		
6004033	3000188	10	Drepanoidea	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:6004033		
6004036	3000188	10	Geometroidea	Leach	1815	urn:lsid:dyntaxa.se:Taxon:6004036		
6004099	3000188	10	Noctuoidea	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:6004099		
6004816	3000188	10	Gelechioidea	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:6004816		
6004819	3000188	10	Alucitoidea	Leach	1815	urn:lsid:dyntaxa.se:Taxon:6004819		
6004821	3000188	10	Choreutoidea	Stainton	1858	urn:lsid:dyntaxa.se:Taxon:6004821		
6004822	3000188	10	Pyraloidea	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:6004822		
6004824	3000188	10	Epermenioidea	Spuler	1910	urn:lsid:dyntaxa.se:Taxon:6004824		
6004826	3000188	10	Pterophoroidea	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:6004826		
6004827	3000188	10	Schreckensteinioidea	Fletcher	1929	urn:lsid:dyntaxa.se:Taxon:6004827		
6004828	3000188	10	Tortricoidea	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:6004828		
6004829	3000188	10	Urodoidea	Kyrki	1988	urn:lsid:dyntaxa.se:Taxon:6004829		
6005039	3000188	10	Lepidoptera, superfamilias incertae sedis			urn:lsid:dyntaxa.se:Taxon:6005039		
2002976	6003862	10	Papilionoidea	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2002976	äkta dagfjärilar:swe	
1016334	2001220	11	Praydidae	Moriuti	1977	urn:lsid:dyntaxa.se:Taxon:1016334	vesslemalar:swe	
1016335	2001220	11	Argyresthiidae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:1016335	knoppmalar:swe	
2002913	2001226	11	Depressariidae	Meyrick	1883	urn:lsid:dyntaxa.se:Taxon:2002913	plattmalar:swe	
2001250	2002975	11	Hesperiidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001250	tjockhuvuden:swe	
2001250	2002976	11	Hesperiidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001250	tjockhuvuden:swe	
2001251	2002976	11	Papilionidae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001251	riddarfjärilar:swe	
2001252	2002976	11	Pieridae	Swainson	1820	urn:lsid:dyntaxa.se:Taxon:2001252	vitfjärilar:swe	
